Entity Source IDE;Entity Source Product Name;Entity Source Manufacturer Name;Entity Source Ingredients;Entity Target IDE;Entity Target Product Name;Entity Target Manufacturer Name;Entity Target Ingredients;Classification;Similarity Score
17482;GOLDEN LOTUS Chemie ERYTHROSINE FD C RED 3 ;PT Bukit Warna Abadi;;17147;GOLDEN LOTUS Chemie D C RED 34 Ca LAKE;PT Bukit Warna Abadi;;owl:sameAs;0.9113066095471236
17482;GOLDEN LOTUS Chemie ERYTHROSINE FD C RED 3 ;PT Bukit Warna Abadi;;17164;GOLDEN LOTUS Chemie INDIGO CARMINE FD C BLUE 2 ;PT Bukit Warna Abadi;;rdfs:seeAlso;0.899667208595462
17482;GOLDEN LOTUS Chemie ERYTHROSINE FD C RED 3 ;PT Bukit Warna Abadi;;17452;GOLDEN LOTUS Chemie EGG YELLOW GL 01;PT Bukit Warna Abadi;;rdfs:seeAlso;0.8915762273901808
17482;GOLDEN LOTUS Chemie ERYTHROSINE FD C RED 3 ;PT Bukit Warna Abadi;;18246;GOLDEN LOTUS Chemie URANINE D C YELLOW 8 ;PT Bukit Warna Abadi;;owl:sameAs;0.9109592606185981
24861;Keripik Wader Keju Manis WEMA ;PKOPUNR WEMA;;24130;Keripik Cetul Sambel Balado WEMA ;PKOPUNR WEMA;;rdfs:seeAlso;0.8776969696969699
24861;Keripik Wader Keju Manis WEMA ;PKOPUNR WEMA;;24414;Keripik Cetul Jagung Manis WEMA ;PKOPUNR WEMA;;owl:sameAs;0.9063333333333334
24861;Keripik Wader Keju Manis WEMA ;PKOPUNR WEMA;;24493;Keripik Belut Pedas WEMA ;PKOPUNR WEMA;;rdfs:seeAlso;0.8844952380952382
24861;Keripik Wader Keju Manis WEMA ;PKOPUNR WEMA;;25334;Keripik Udang Jagung Manis WEMA ;PKOPUNR WEMA;;owl:sameAs;0.9031333333333333
11293;Chocolate Coated Crunch;Inventive Food Technology Ltd;;11445;Chocolate Malt Crunch;Inventive Food Technology Ltd;;owl:sameAs;0.9232516072790673
23139;KIBIF Beef Breakfast Sausage;PT. De Glow International;;23180;KIBIF Chicken Breakfast Sausage;PT. De Glow International;;owl:sameAs;0.9326894009216591
23139;KIBIF Beef Breakfast Sausage;PT. De Glow International;;24717;Kibif Meat Ball Super;PT. De Glow International;;rdfs:seeAlso;0.8690196078431374
23139;KIBIF Beef Breakfast Sausage;PT. De Glow International;;25181;Kibif Beef Pepperoni;PT. De Glow International;;rdfs:seeAlso;0.8605714285714285
23139;KIBIF Beef Breakfast Sausage;PT. De Glow International;;67783;kibif Beef Burger Bulgogi;PT. De Glow International;;rdfs:seeAlso;0.8624134453781513
33741;Oleoresin of Star Anise NE0033;Xumei(Kaifeng) Bio Technology Co.,Ltd;;34234;Oleoresin of Capsicum NE0073;Xumei(Kaifeng) Bio Technology Co.,Ltd;;owl:sameAs;0.9048658008658008
33741;Oleoresin of Star Anise NE0033;Xumei(Kaifeng) Bio Technology Co.,Ltd;;43807;Star Anise Essential Oil NE0035;Xumei(Kaifeng) Bio Technology Co.,Ltd;;rdfs:seeAlso;0.7975627240143368
12532;Creamfill Instant Cheese;FEDERAL FOOD INTERNUSA, PT;;11937;Creamfill Instant Banana;FEDERAL FOOD INTERNUSA, PT;;owl:sameAs;0.9200000000000002
12532;Creamfill Instant Cheese;FEDERAL FOOD INTERNUSA, PT;;12244;Creamfill Instant Sarikaya;FEDERAL FOOD INTERNUSA, PT;;owl:sameAs;0.9235897435897436
12532;Creamfill Instant Cheese;FEDERAL FOOD INTERNUSA, PT;;12283;Creamfill Instant Chocolate;FEDERAL FOOD INTERNUSA, PT;;owl:sameAs;0.9444444444444444
